XCoord,YCoord,OID,FIELD1,START_STAT,START_ST_1
-73.98362464,40.69474881,23417,23417,40.694749,-73.983625
-73.96024116,40.71534825,23462,23462,40.715348,-73.960241
-73.96834101,40.70827295,23507,23507,40.708273,-73.968341
-73.95381995,40.69331716,23530,23530,40.693317,-73.953820
-73.98362464,40.69474881,23714,23714,40.694749,-73.983625
-73.98963911,40.69246277,23913,23913,40.692463,-73.989639
-73.99548059,40.70037867,23934,23934,40.700379,-73.995481
-73.96408963,40.70853074,23953,23953,40.708531,-73.964090
-73.96024116,40.71534825,23995,23995,40.715348,-73.960241
-73.97632328,40.68382604,24013,24013,40.683826,-73.976323
-73.98912867,40.68926942,24035,24035,40.689269,-73.989129
-73.99548059,40.70037867,24047,24047,40.700379,-73.995481
-73.98963911,40.69246277,24053,24053,40.692463,-73.989639
-73.96596410,40.68317813,24111,24111,40.683178,-73.965964
-73.96087600,40.71045100,24128,24128,40.710451,-73.960876
-73.96596410,40.68317813,24215,24215,40.683178,-73.965964
-73.96476280,40.68851534,24331,24331,40.688515,-73.964763
-73.96087600,40.71045100,24359,24359,40.710451,-73.960876
-73.96087600,40.71045100,24379,24379,40.710451,-73.960876
-73.97632328,40.68382604,24397,24397,40.683826,-73.976323
-73.95643107,40.69064950,24487,24487,40.690649,-73.956431
-73.98963911,40.69246277,24541,24541,40.692463,-73.989639
-73.96476280,40.68851534,24557,24557,40.688515,-73.964763
-73.99548059,40.70037867,24604,24604,40.700379,-73.995481
-73.95381995,40.69331716,24644,24644,40.693317,-73.953820
-73.98963911,40.69246277,24983,24983,40.692463,-73.989639
-73.96087600,40.71045100,25203,25203,40.710451,-73.960876
-73.97372989,40.69178232,25205,25205,40.691782,-73.973730
-73.96596410,40.68317813,25224,25224,40.683178,-73.965964
-73.98963911,40.69246277,25237,25237,40.692463,-73.989639
-73.98362464,40.69474881,25243,25243,40.694749,-73.983625
-73.98912867,40.68926942,25330,25330,40.689269,-73.989129
-73.97703874,40.69327018,25334,25334,40.693270,-73.977039
-73.97372989,40.69178232,25338,25338,40.691782,-73.973730
-73.97493121,40.68981035,25391,25391,40.689810,-73.974931
-73.96023854,40.68900443,25410,25410,40.689004,-73.960239
-73.96087600,40.71045100,25560,25560,40.710451,-73.960876
-73.96834101,40.70827295,25568,25568,40.708273,-73.968341
-73.98963911,40.69246277,25570,25570,40.692463,-73.989639
-73.98912867,40.68926942,25575,25575,40.689269,-73.989129
-73.98912867,40.68926942,25588,25588,40.689269,-73.989129
-73.97372989,40.69178232,25650,25650,40.691782,-73.973730
-73.97632328,40.68382604,25699,25699,40.683826,-73.976323
-73.96023854,40.68900443,25850,25850,40.689004,-73.960239
-73.96986848,40.69794000,25852,25852,40.697940,-73.969868
-73.98963911,40.69246277,25887,25887,40.692463,-73.989639
-73.96596410,40.68317813,25982,25982,40.683178,-73.965964
-73.97632328,40.68382604,26008,26008,40.683826,-73.976323
-73.97632328,40.68382604,26036,26036,40.683826,-73.976323
-73.98912867,40.68926942,26206,26206,40.689269,-73.989129
-73.97632328,40.68382604,26226,26226,40.683826,-73.976323
-73.97632328,40.68382604,26549,26549,40.683826,-73.976323
-73.98963911,40.69246277,26557,26557,40.692463,-73.989639
-73.96024116,40.71534825,26686,26686,40.715348,-73.960241
-73.96596410,40.68317813,26712,26712,40.683178,-73.965964
-73.98963911,40.69246277,26982,26982,40.692463,-73.989639
-73.98912867,40.68926942,27031,27031,40.689269,-73.989129
-73.96476280,40.68851534,27104,27104,40.688515,-73.964763
-73.97100056,40.70531194,27165,27165,40.705312,-73.971001
-73.98912867,40.68926942,27240,27240,40.689269,-73.989129
-73.98963911,40.69246277,27398,27398,40.692463,-73.989639
-73.98963911,40.69246277,27426,27426,40.692463,-73.989639
-73.97632328,40.68382604,27509,27509,40.683826,-73.976323
-73.96023854,40.68900443,27573,27573,40.689004,-73.960239
-73.97632328,40.68382604,27577,27577,40.683826,-73.976323
-73.97632328,40.68382604,27611,27611,40.683826,-73.976323
-73.95643107,40.69064950,27667,27667,40.690649,-73.956431
-73.98912867,40.68926942,27764,27764,40.689269,-73.989129
-73.96476280,40.68851534,27784,27784,40.688515,-73.964763
-73.97632328,40.68382604,27839,27839,40.683826,-73.976323
-73.96024116,40.71534825,28070,28070,40.715348,-73.960241
-73.98963911,40.69246277,28171,28171,40.692463,-73.989639
-73.96986848,40.69794000,28187,28187,40.697940,-73.969868
-73.97703874,40.69327018,28191,28191,40.693270,-73.977039
-73.96087600,40.71045100,28418,28418,40.710451,-73.960876
-73.97632328,40.68382604,28842,28842,40.683826,-73.976323
-73.98068914,40.69839895,28961,28961,40.698399,-73.980689
-73.97992700,40.69977300,29471,29471,40.699773,-73.979927
-73.98362464,40.69474881,29554,29554,40.694749,-73.983625
-73.98963911,40.69246277,29622,29622,40.692463,-73.989639
-73.98912867,40.68926942,29716,29716,40.689269,-73.989129
-73.96834101,40.70827295,29835,29835,40.708273,-73.968341
-73.96596410,40.68317813,29849,29849,40.683178,-73.965964
-73.98362464,40.69474881,29925,29925,40.694749,-73.983625
-73.96087600,40.71045100,29978,29978,40.710451,-73.960876
-73.98963911,40.69246277,29980,29980,40.692463,-73.989639
-73.96563307,40.68650065,29989,29989,40.686501,-73.965633
-73.98912867,40.68926942,29991,29991,40.689269,-73.989129
-73.97632328,40.68382604,29999,29999,40.683826,-73.976323
-73.98362464,40.69474881,30045,30045,40.694749,-73.983625
-73.98963911,40.69246277,30067,30067,40.692463,-73.989639
-73.96024116,40.71534825,30179,30179,40.715348,-73.960241
-73.96024116,40.71534825,30287,30287,40.715348,-73.960241
-73.97493121,40.68981035,30291,30291,40.689810,-73.974931
-73.96834101,40.70827295,30320,30320,40.708273,-73.968341
-73.97703874,40.69327018,30331,30331,40.693270,-73.977039
-73.96834101,40.70827295,30441,30441,40.708273,-73.968341
-73.98362464,40.69474881,30451,30451,40.694749,-73.983625
-73.96087600,40.71045100,30461,30461,40.710451,-73.960876
-73.96476280,40.68851534,30466,30466,40.688515,-73.964763
-73.96596410,40.68317813,30510,30510,40.683178,-73.965964
-73.96024116,40.71534825,30519,30519,40.715348,-73.960241
-73.97493121,40.68981035,30544,30544,40.689810,-73.974931
-73.98963911,40.69246277,30629,30629,40.692463,-73.989639
-73.96024116,40.71534825,30781,30781,40.715348,-73.960241
-73.97493121,40.68981035,30786,30786,40.689810,-73.974931
-73.98362464,40.69474881,30919,30919,40.694749,-73.983625
-73.98362464,40.69474881,30978,30978,40.694749,-73.983625
-73.97493121,40.68981035,31173,31173,40.689810,-73.974931
